id,out,headline,subheadline,text
1,1_retinol_1.jpg,Den skjulte årsag til at din hud pludselig ældes hurtigere,(og hvordan du vender processen),"Mange kvinder over 45 står foran spejlet og føler, at huden nærmest er blevet tyndere og mere rynket natten over. Det er ikke bare noget du bilder dig ind! Vidste du, at kvinder kan miste op mod 30 % af hudens kollagen på bare 5 år omkring overgangsalderen? Læs hvorfor det sker, og se den nye ""indkapslede"" teknologi, der endelig kan sætte skub i hudens fornyelse - uden at irritere."
2,2_retinol_1.jpg,"Dermatologens forklaring på, hvorfor din hud pludselig ser 10 år ældre ud","og den videnskabelige metode, der kan vende processen.","Mange kvinder over 45 står foran spejlet og føler, at huden nærmest er blevet tyndere og mere rynket natten over. Det er ikke bare noget du bilder dig ind! Vidste du, at kvinder kan miste op mod 30 % af hudens kollagen på bare 5 år omkring overgangsalderen? Læs hvorfor det sker, og se den nye ""indkapslede"" teknologi, der endelig kan sætte skub i hudens fornyelse - uden at irritere."
3,3_retinol_1.jpg,"""Det var som om mit ansigt faldt sammen natten over""",Her er den skræmmende årsag til at kvinder ældes brat efter de 45,"Mange kvinder over 45 står foran spejlet og føler, at huden nærmest er blevet tyndere og mere rynket natten over. Du er ikke skør! Forskningen viser nemlig, at kvinder kan miste op mod 30% af deres kollagen på bare 5 år. Læs den videnskabelige forklaring på, hvorfor dit ansigt pludselig ""falder sammen"" – og den overraskende teknologi, der beviseligt vender processen på 28 dage."
4,4_retinol_1.jpg,Den store hudpleje-løgn:,"Skønhedsbranchen sælger dig ""mirakler"", men din hud betaler prisen.","Det kaldes skønhedsbranchens mirakelingrediens. Men for rigtig mange kvinder ender retinol i en skuffelse med udtørret, rød og skallende hud. Se hvordan et gennembrud med såkaldt 'indkapslet retinol' nu gør det muligt at få den fulde, udglattende effekt af A-vitamin, helt uden de ubehagelige bivirkninger."
5,5_retinol_1.jpg,Læs dette før du spilder endnu en krone på anti-age,(Derfor får dine cremer dig til at se ældre ud),"Det kaldes skønhedsbranchens mirakelingrediens. Men for rigtig mange kvinder ender retinol i en skuffelse med udtørret, rød og skallende hud. Se hvordan et gennembrud med såkaldt 'indkapslet retinol' nu gør det muligt at få den fulde, udglattende effekt af A-vitamin, helt uden de ubehagelige bivirkninger."
6,6_retinol_1.jpg,Hudeksperter advarer:,"Smører du også denne ""mirakelingrediens"" i ansigtet?","Det kaldes skønhedsbranchens mirakelingrediens. Men for rigtig mange kvinder ender retinol i en skuffelse med udtørret, rød og skallende hud. Se hvordan et gennembrud med såkaldt 'indkapslet retinol' nu gør det muligt at få den fulde, udglattende effekt af A-vitamin, helt uden de ubehagelige bivirkninger."
7,7_retinol_1.jpg,"Hudeksperternes ""mirakelmiddel"" har en mørk bagside:",Derfor bliver din hud rød og irriteret,"Det kaldes skønhedsbranchens mirakelingrediens. Men for rigtig mange kvinder ender retinol i en skuffelse med udtørret, rød og skallende hud. Se hvordan et gennembrud med såkaldt 'indkapslet retinol' nu gør det muligt at få den fulde, udglattende effekt af A-vitamin, helt uden de ubehagelige bivirkninger."
8,8_retinol_1.jpg,Derfor fejler dine dyre rynkecremer:,"Hemmeligheden ligger i, hvordan ingredienserne rammer huden","Du har prøvet alt. Læst anmeldelser, skiftet rutiner og købt dyre cremer - men de fine linjer er der stadig. Problemet er oftest ikke ingredienserne, men at de rammer huden forkert og skaber chok og irritation. Få forklaringen på, hvorfor ""indkapslet"" hudpleje lige nu får over 18.000 danske kvinder til at skifte deres gamle cremer ud med et helt nyt alternativ."
9,9_retinol_1.jpg,"Kaster du også penge efter anti-age cremer, der ikke virker?",Her er den simple årsag,"Du har prøvet alt. Læst anmeldelser, skiftet rutiner og købt dyre cremer – men de fine linjer er der stadig. Problemet er oftest ikke ingredienserne, men at de rammer huden forkert og skaber chok og irritation. Få forklaringen på, hvorfor ""indkapslet"" hudpleje lige nu får over 18.000 danske kvinder til at skifte deres gamle cremer ud med et helt nyt alternativ."
10,10_retinol_1.jpg,Har du også en skuffe fuld af skuffende hudpleje?,Denne nye teknologi gør op med branchens tomme løfter,"Du har prøvet alt. Læst anmeldelser, skiftet rutiner og købt dyre cremer - men de fine linjer er der stadig. Problemet er oftest ikke ingredienserne, men at de rammer huden forkert og skaber chok og irritation. Få forklaringen på, hvorfor ""indkapslet"" hudpleje lige nu får over 18.000 danske kvinder til at skifte deres gamle cremer ud med et helt nyt alternativ."
11,11_retinol_1.jpg,Kosmetologernes bedst bevarede hemmelighed er lækket:,Nu kan du stoppe hudens aldring hjemme på badeværelset,"I årevis har de absolut mest effektive anti-age behandlinger været forbeholdt dyre klinikbesøg. Men en avanceret teknologi ændrer nu spillereglerne Ved at 'indkapsle' branchens kraftigste ingrediens mod tegn på aldring, kan du endelig få den fulde, opstrammende effekt hjemme hos dig selv. Et klinisk studie viste, at teknologien reducerede 27 % i fine linjer på kun 28 dage."
12,12_retinol_1.jpg,Glem Botox og skrappe kemikalier:,"Den nye ""indkapslede"" teknologi udglatter huden mens du sover","I årevis har de absolut mest effektive anti-age behandlinger været forbeholdt dyre klinikbesøg. Men en avanceret teknologi ændrer nu spillereglerne Ved at 'indkapsle' branchens kraftigste ingrediens mod tegn på aldring, kan du endelig få den fulde, opstrammende effekt hjemme hos dig selv. Læs alt om teknologien, der har fået over 18.000 kvinder til at droppe de skrappe metoder og se de utrolige før/efter billeder her."
13,13_retinol_1.jpg,Føles din hud også tyndere og mere slap?,Her er den videnskabelige årsag.,"Rigtig mange kvinder oplever, at huden nærmest ændrer karakter fra den ene dag til den anden. Det er ikke bare noget du bilder dig ind. Forskning viser, at kvinder kan miste op mod 30 % af hudens kollagen i de første år efter overgangsalderen. Hudbarrieren svækkes, fugten fordamper, og huden falder sammen. Læs hvorfor over 18.000 kvinder nu bruger en ny 'indkapslet' teknologi til at genopbygge barrieren og udglatte linjerne."
14,14_retinol_1.jpg,Den biologiske årsag til at vi får flere rynker efter overgangsalderen,(og hvordan du stopper det),"Der er en helt naturlig forklaring på, at huden pludselig ændrer karakter. Når overgangsalderen rammer, sker der et drastisk, biologisk fald i hudens produktion af kollagen. Samtidig bliver hudbarrieren svagere. Smører du stærke, almindelige anti-age cremer på huden nu, risikerer du at irritere og udtørre den yderligere."
