id,out,text
1,1_morten.jpg,Morten Kjeldgaard har hjulpet 18.000 kvinder med deres selvtillid – nu afslører han sit hidtil største projekt mod fine linjer
2,2_morten.jpg,Kendt fra Vild med Dans: Sådan hjalp Morten Kjeldgaard 18.000+ kvinder med deres hud
3,3_morten.jpg,"27% færre fine linjer på 28 dage: Det opdagede Morten Kjeldgaard, da han gik i krig mod aldringstegn"
4,4_morten.jpg,Derfor svigter almindelig hudpleje dig – og hvad Morten Kjeldgaard gjorde i stedet.
5,5_morten.jpg,Morten Kjeldgaard har hjulpet 18.000+ danske kvinder med at få styr på fine linjer og rynker – uden operation eller dyre klinikbesøg
6,6_morten.jpg,Morten deler sin hemmelighed: vejen til ungdommelig hud - uden operation eller komplicerede rutiner
7,7_morten.jpg,"Kendt for sine dansetrin, men nu hyldes Morten Kjeldgaard for sit opgør mod skønhedsbranchens overfladiske lappeløsninger"
8,8_morten.jpg,Morten Kjeldgaard advarer: Derfor er din nuværende rynkecreme højst sandsynligt spild af penge (og hvad du skal gøre i stedet)
9,9_morten.jpg,Fra frustration til videnskabeligt gennembrud: Morten Kjeldgaards uventede rejse mod at løse kvinders største hudpleje-dilemma
10,10_morten.jpg,"Danmarks danse-darling overrasker alle: Afslører hemmeligt anti-age projekt, der nu har skabt lange ventelister"
11,11_morten.jpg,Fra 'Vild med Dans' til videnskabeligt gennembrud: Mortens nye opfindelse reducerer rynker med 27% på kun 28 dage
12,12_morten.jpg,"Morten Kjeldgaard fik nok af dyre cremer med tomme løfter: ""Vi var nødt til at gøre det stik modsatte for at få resultater"""
13,13_morten.jpg,Kvinderne rasede over cremer der ikke virkede: Nu har Mortens uventede metode hjulpet over 18.000 danskere
14,14_morten.jpg,"Morten Kjeldgaard raser mod overfladisk hudpleje: ""De behandler bevidst kun symptomerne for at holde dig som kunde"""
